NETSTAT.EXE                                                  = 0x89d63ae6
FILEMON.EXE                                                  = 0x82d63a1e
REGMON.EXE                                                   = 0x4ed0ba5e
CAIN.EXE                                                     = 0x4acdf96e
NETMON.EXE                                                   = 0x5cd7ba5e (True)
procex.EXE                                                   = 0x4dd1fac6
joeboxserver.exe                                             = 0x32897167
sample.exe                                                   = 0x41d33a76
keyscrambler.exe                                             = 0x4686b0a7
anubis.exe                                                   = 0x52d5fa16
mbam.exe                                                     = 0x45cdb94e
ollydbg.exe                                                  = 0x8ad63a2e
outpost.exe                                                  = 0x8bd17aae
npfmsg.exe                                                   = 0x4ad7ba8e
joeboxcontrol.exe                                            = 0x4f8cf13c
bdagent.exe                                                  = 0x85d43a7e
egui.exe                                                     = 0x4fcd391e
avp.exe                                                      = 0x26cdf916
sniff_hit.exe                                                = 0x89ecbca6
sysAnalyzer.exe                                              = 0x64ef7247
Dumper.exe                                                   = 0x4ad6baf6
Dumper64.exe                                                 = 0x8bd4fdce
vmtoolsd.exe                                                 = 0x99d13d0e
prl_cc.exe                                                   = 0x42d27ade
prl_tools.exe                                                = 0x92eb7de6
SharedIntApp.exe                                             = 0x1d9d3107
accesschk.exe                                                = 0x9ee47cc6
AccessEnum.exe                                               = 0x 3e17cb7
ADExplorer.exe                                               = 0x3ee17c67
ADInsight.exe                                                = 0x9fe67ca6
adrestore.exe                                                = 0xbfe5fcce
Autologon.exe                                                = 0xace67d4e
autoruns.exe                                                 = 0xbed23c1e
autorunsc.exe                                                = 0xb0e77dce
Bginfo.exe                                                   = 0x40d4fa6e
Cacheset.exe                                                 = 0x83d77c26
Clockres.exe                                                 = 0x96d47c76
Contig.exe                                                   = 0x42d7ba16
Coreinfo.exe                                                 = 0x9ed0fc4e
ctrl2cap.exe                                                 = 0xffd17c16
Dbgview.exe                                                  = 0x98d43a66
Desktops.exe                                                 = 0x98d0fc06
disk2vhd.exe                                                 = 0xcdd3fc66
diskext.exe                                                  = 0x85d73ab6
Diskmon.exe                                                  = 0x88d63aee
DiskView.exe                                                 = 0x80d03c56
du.exe                                                       = 0x24c1d95e
efsdump.exe                                                  = 0x89d6bae6
FindLinks.exe                                                = 0x90e6fc9e
handle.exe                                                   = 0x43d73a76
hex2dec.exe                                                  = 0xced43a96
junction.exe                                                 = 0xb6d73cde
ldmdump.exe                                                  = 0x99d63a16
Listdlls.exe                                                 = 0x90d0bc06
livekd.exe                                                   = 0x5bd63a2e
LoadOrd.exe                                                  = 0x93d7fa0e
logonsessions.exe                                            = 0x5088713c
movefile.exe                                                 = 0x95d13c86
ntfsinfo.exe                                                 = 0xaad5fc3e
pagedfrg.exe                                                 = 0x8ad4fd3e
pendmoves.exe                                                = 0x96eefc66
pipelist.exe                                                 = 0x9bd0bd3e
portmon.exe                                                  = 0xbed7baee
procdump.exe                                                 = 0xa5d4bd76
procexp.exe                                                  = 0xa7d1ba56
