accesschk.exe                    = 0x9ee47cc6
accessenum.exe                   = 0x03e17cb7
adexplorer.exe                   = 0x3ee17c67
adinsight.exe                    = 0x9fe67ca6
adrestore.exe                    = 0xbfe5fcce
aircrack-ng gui.exe              = 0x4d4668b4
anubis.exe                       = 0x52d5fa16
apimonitor.exe                   = 0x10ec3c9f
apis32.exe                       = 0x6ed7fb8e
apispy32.exe                     = 0x94d4bd8e
autologon.exe                    = 0xace67d4e
autoruns.exe                     = 0xbed23c1e
autorunsc.exe                    = 0xb0e77dce
avp.exe                          = 0x26cdf916
bdagent.exe                      = 0x85d43a7e
bginfo.exe                       = 0x40d4fa6e
cacheset.exe                     = 0x83d77c26
cain.exe                         = 0x4acdf96e
camrecorder.exe                  = 0x1ae33177
camtasiastudio.exe               = 0x12852a34
clockres.exe                     = 0x96d47c76
comview.exe                      = 0x94d73a36
contig.exe                       = 0x42d7ba16
coreinfo.exe                     = 0x9ed0fc4e
ctrl2cap.exe                     = 0xffd17c16
cv.exe                           = 0x25c1d946
dbgview.exe                      = 0x98d43a66
desktops.exe                     = 0x98d0fc06
disk2vhd.exe                     = 0xcdd3fc66
diskext.exe                      = 0x85d73ab6
diskmon.exe                      = 0x88d63aee
diskview.exe                     = 0x80d03c56
drvinst64.exe                    = 0x99e7bc5e
drvloader.exe                    = 0xa8e4bd16
du.exe                           = 0x24c1d95e
dumpcap.exe                      = 0x9dd0fa26
dumper.exe                       = 0x4ad6baf6
dumper64.exe                     = 0x8bd4fdce
efsdump.exe                      = 0x89d6bae6
egui.exe                         = 0x4fcd391e
emmett.exe                       = 0x49d43a76
erdnt.exe                        = 0x57cd7a5e
erunt.exe                        = 0x57cf7a5e
etherd.exe                       = 0x45d43aae
filemon.exe                      = 0x82d63a1e
findlinks.exe                    = 0x90e6fc9e
handle.exe                       = 0x43d73a76
hex2dec.exe                      = 0xced43a96
idag.exe                         = 0x44cd794e
idag64.exe                       = 0x65d77b3e
immunitydebugger.exe             = 0x665c6ac2
iptools.exe                      = 0x9ad07ad6
iris.exe                         = 0x4ecfb96e
irise.exe                        = 0x5fccfa4e
irissvc.exe                      = 0x8ed37a5e
joeboxcontrol.exe                = 0x4f8cf13c
joeboxserver.exe                 = 0x32897167
junction.exe                     = 0xb6d73cde
k7emlpxy.exe                     = 0x21d6bcf6
k7fwsrvc.exe                     = 0x32d67c1e
k7pssrvc.exe                     = 0x32d3fc3e
k7rtscan.exe                     = 0x34d17c56
k7sysmon.exe                     = 0x34d0bc0e
k7systry.exe                     = 0x3fd3bc7e
k7tsalrt.exe                     = 0x2bd13c2e
k7tsecurity.exe                  = 0x47eeb0e6
k7tsmngr.exe                     = 0x24d17c7e
k9.exe                           = 0x02c1d966
k9filter.exe                     = 0x38d6bca6
k9nt.exe                         = 0x4fc6f976
kasavsrv.exe                     = 0x90d37cbe
kaspersky.exe                    = 0xb7e67c5e
